Country,Year,GDP_Growth,CO2_Emission_Metrics_per_capita,Electricity_access,Urban_population,Population_growth,Urban_population_growth_annual,Live_stock_production,Forest_area,Renewable_energy_use,Energy_use_kg_of_oil_per_capita,Population_total
Late-demographic dividend,2008,6.5,5.5,98.2,53.3,0.6,2.5,0.2,39.4,15.4,"1,852.90","2,15,42,45,139.00"
Latin America & Caribbean,2008,3.9,2.9,95.3,78,1.2,1.6,0.2,48.5,28.2,"1,305.00","57,67,83,744.00"
Latin America & Caribbean (excluding high income),2008,4,2.8,95.1,77.7,1.2,1.6,0.2,49.8,28.4,"1,257.90","54,68,48,929.00"
Latin America & the Caribbean (IDA & IBRD countries),2008,4.1,2.9,95.2,77.9,1.2,1.6,0.2,48.6,28.5,"1,308.30","56,06,24,659.00"
Least developed countries: UN classification,2008,7.1,0.2,32.3,28.5,2.4,4.1,18.1,30.9,78.8,339.7,"79,85,63,392.00"
Low & middle income,2008,5.6,3,78.5,44.8,1.3,2.7,1.3,33.2,24.2,"1,152.80","5,59,34,51,949.00"
Low income,2008,6.5,0.4,27.7,29.6,2.8,4.1,23.7,23.9,67.4,..,"50,33,24,676.00"
Lower middle income,2008,4.2,1.2,68.7,34.9,1.6,2.8,0.3,27,43.3,570.8,"2,46,81,36,919.00"
Middle East & North Africa,2008,4.5,5.6,94.5,61.8,2.2,2.9,1,2,2,"2,044.90","36,98,23,252.00"
Middle East & North Africa (excluding high income),2008,3.5,3.8,93.6,58.3,1.8,2.4,1.1,2.4,2.8,"1,350.90","32,11,68,767.00"
Middle East & North Africa (IDA & IBRD countries),2008,3.5,3.8,93.5,58.2,1.8,2.4,0.2,2.4,2.7,"1,350.90","31,75,76,790.00"
Middle income,2008,5.5,3.3,83.3,46.3,1.2,2.6,0.2,34.7,22.5,"1,193.90","5,09,01,27,273.00"
North America,2008,0,18.3,100,80.5,1,1.2,0.1,36.2,8.6,"7,557.70","33,74,06,357.00"
Not classified,2008,..,..,..,..,..,..,..,..,..,..,..
OECD members,2008,0.3,10.3,99.8,78.4,0.8,1.2,0.1,32.5,9.5,"4,354.00","1,27,00,59,584.00"
Other small states,2008,7.5,6.7,63.1,55.7,2.7,4.6,0.2,30,29.6,..,"2,47,62,406.00"
Pacific island small states,2008,1.8,0.9,66.8,36.3,1.4,2.2,0.1,67.4,39.9,..,"21,57,454.00"
Post-demographic dividend,2008,0.2,11.6,100,79.3,0.6,1,0.1,31.8,8.9,"4,956.10","1,06,43,94,156.00"
Pre-demographic dividend,2008,6.8,0.4,33,35.8,2.8,4.3,19.9,30.3,77.7,539.8,"69,14,47,610.00"
Small states,2008,6.2,6.9,69.6,53.4,2.2,3.7,0.2,40.7,25.6,..,"3,37,98,830.00"
South Asia,2008,3.2,1.1,69.6,30.1,1.5,2.8,0.2,18.3,45.2,467.2,"1,59,20,10,819.00"
South Asia (IDA & IBRD),2008,3.2,1.1,69.6,30.1,1.5,2.8,0.2,18.3,45.2,467.2,"1,59,20,10,819.00"
Sub-Saharan Africa,2008,5.3,0.9,34,35,2.8,4.3,15.3,30.2,70.9,701.9,"82,29,45,457.00"
Sub-Saharan Africa (excluding high income),2008,5.4,0.9,33.9,35,2.8,4.3,15.4,30.2,71.1,701.2,"82,16,14,380.00"
Sub-Saharan Africa (IDA & IBRD countries),2008,5.3,0.9,34,35,2.8,4.3,15.3,30.2,70.9,701.9,"82,29,45,457.00"
Upper middle income,2008,5.9,5.2,97.4,57,0.8,2.5,0.2,37.6,15.4,"1,774.70","2,62,19,90,354.00"
World,2008,1.9,4.5,82.2,50.6,1.2,2.3,0.9,30.9,17,"1,829.70","6,75,69,17,893.00"
Afghanistan,2009,21.4,0.2,45.7,23.5,2.4,3.3,93.7,1.9,17.8,..,"2,83,94,813.00"
Albania,2009,3.4,1.5,..,51.1,-0.7,1.5,87.8,28.5,37.2,732.3,"29,27,519.00"
Algeria,2009,1.6,3.4,98.7,66.8,1.7,2.8,73,0.8,0.3,"1,153.70","3,53,33,881.00"
American Samoa,2009,-4.2,..,..,87.7,-1.4,-1.5,100.1,87.3,0,..,"56,683.00"
Andorra,2009,-5.3,6.1,100,88.9,0.7,0.6,..,34,17.5,..,"84,463.00"
Angola,2009,0.9,1.2,32.3,59,3.7,5,85.2,58.3,55.7,515.2,"2,25,14,281.00"
Antigua and Barbuda,2009,-12,5.9,98.4,26.8,1.6,-0.6,238.1,20.1,0,..,"86,746.00"
Argentina,2009,-5.9,4.4,97.7,90.7,1,1.2,104.8,11.2,8.6,"1,865.30","4,04,82,788.00"
Armenia,2009,-14.1,1.5,99.4,63.5,-0.7,-0.8,81.8,11.6,7.8,903.7,"28,88,092.00"
Aruba,2009,-10.5,25.9,100,43.4,0.1,-0.7,..,2.3,0.3,..,"1,01,455.00"
Australia,2009,1.9,18.2,100,85.1,2.1,2.2,86.7,16.9,7.1,"5,862.60","2,16,91,700.00"
Austria,2009,-3.8,7.5,100,57.7,0.3,-0.2,95.6,46.8,30.5,"3,798.20","83,43,323.00"
Azerbaijan,2009,9.4,3.6,99.8,53.2,2.1,2.5,80.4,12.4,3.3,"1,334.20","89,47,243.00"
"Bahamas, The",2009,-4.2,4.6,100,82.4,1.7,1.8,92,50.9,1.9,..,"3,49,604.00"
Bahrain,2009,2.5,23.8,100,88.6,6.1,6.2,33,0.7,0,"10,339.20","11,85,076.00"
Bangladesh,2009,5,0.4,55.1,29.7,1.1,3.6,81.8,14.5,43.7,193.1,"14,59,24,797.00"
Barbados,2009,-5.1,5.7,100,32.1,0.4,-0.2,96.2,14.7,9.4,..,"2,81,104.00"
Belarus,2009,0.2,6.4,100,74.2,-0.2,0.4,90.1,42.4,6.8,"2,790.10","95,06,765.00"
Belgium,2009,-2,9.2,100,97.6,0.8,0.9,87.2,22.7,4.8,"5,196.60","1,07,96,493.00"
Belize,2009,0.2,1.9,88.7,45.2,2.5,2.5,76.9,61.3,26.6,..,"3,14,655.00"
Benin,2009,2.3,0.5,30.7,42.6,2.8,4,70.6,32.7,52.8,384.4,"89,44,708.00"
Bermuda,2009,-5.6,7.3,100,100,0.6,0.6,101,18.5,2.6,..,"65,636.00"
Bhutan,2009,6.7,0.6,71.3,34,1,3.3,103.7,70.7,92.6,..,"6,78,323.00"
Bolivia,2009,3.4,1.4,86.8,66,1.7,2.3,78.7,49.2,20,593.6,"98,84,781.00"
Bosnia and Herzegovina,2009,-3,5.5,100,45.2,-0.5,0.2,111.6,41.1,17.4,"1,664.20","37,35,938.00"
Botswana,2009,-7.7,2,45.3,60.9,2,4.4,117.6,29.2,28.3,"1,007.30","19,53,498.00"
Brazil,2009,-0.1,1.9,98.9,84,1,1.3,87.2,61.7,49.1,"1,240.20","19,38,86,508.00"
British Virgin Islands,2009,..,7.1,97,44.5,3.5,4.3,95.8,24.3,0.8,..,"27,039.00"
Brunei Darussalam,2009,-1.8,20.5,100,74.6,1.2,1.7,86.4,72.4,0,"7,925.90","3,83,906.00"
Bulgaria,2009,-3.4,5.7,100,72,-0.6,-0.2,111.4,34.1,11.7,"2,351.70","74,44,443.00"
Burkina Faso,2009,3,0.1,12.9,24.1,3,5.3,100.5,24.7,83.6,..,"1,51,41,098.00"
Burundi,2009,3.8,0,5.5,10.4,3.3,5.8,79.8,7.6,96.9,..,"83,97,668.00"
Cabo Verde,2009,-1.3,1.1,74.8,61,1.2,2.6,155.1,10.5,26.2,..,"4,86,671.00"
Cambodia,2009,0.1,0.3,41.5,19.9,1.5,3.3,99.9,60.1,71.3,360.5,"1,40,93,604.00"
Cameroon,2009,2.2,0.3,51.5,51,2.8,3.9,100.6,44.4,79.1,349.4,"1,97,89,919.00"
Canada,2009,-2.9,15.8,100,80.8,1.1,1.4,101.4,38.7,22.7,"7,797.10","3,36,28,895.00"
Cayman Islands,2009,-7.2,10.1,100,100,2.7,2.7,96.5,53.1,0,..,"55,322.00"
Central African Republic,2009,8.6,0.1,10.2,38.7,1.5,2,84.6,36.3,80.6,..,"43,37,625.00"
Chad,2009,4.2,0.1,6.2,21.9,3.3,3.5,69.1,4.5,91.1,..,"1,15,60,147.00"
Channel Islands,2009,..,..,..,31,1.1,1.3,..,5.1,..,..,"1,58,178.00"
Chile,2009,-1.6,4,99.6,87,1.1,1.1,96.4,22.4,31.5,"1,748.30","1,68,86,186.00"
China,2009,9.4,5.7,99.2,47.9,0.5,3.3,91.3,21,13.9,"1,778.40","1,33,12,60,000.00"
Colombia,2009,1.1,1.6,96.1,77.6,1.1,1.6,86.2,55,29.6,686.1,"4,47,50,054.00"
Comoros,2009,3.2,0.2,60.1,27.9,2.4,2.5,97.9,20.3,49.8,..,"6,73,252.00"
"Congo, Dem. Rep.",2009,2.9,0,12.1,39.5,3.3,4.6,95.6,60.8,97,306.5,"6,24,48,574.00"
"Congo, Rep.",2009,11.6,0.4,37.1,62.8,3.3,4,76.5,64.7,56.4,371.4,"41,45,391.00"
Costa Rica,2009,-1,1.7,99.4,70.6,1.3,3,94.7,56.2,42.3,"1,008.90","45,20,740.00"
Cote d'Ivoire,2009,3.3,0.3,56.9,46.9,2.3,3.2,86.5,12.8,73.7,467.5,"2,00,59,147.00"
Croatia,2009,-7.3,4.9,100,55,-0.1,0.2,87.6,34.2,27.2,"2,207.10","43,05,181.00"
Cuba,2009,1.5,2.5,97.6,76.5,-0.1,0,91.6,27.1,16.1,"1,016.70","1,12,26,709.00"
Curacao,2009,-0.5,..,100,90,0.7,0.5,..,..,0.2,"15,608.50","1,46,833.00"
Cyprus,2009,-2,7.4,100,67.7,1.5,1.3,106.8,18.7,6,"2,299.80","10,98,083.00"
Czech Republic,2009,-4.7,10.3,100,73.3,0.6,0.5,100.6,34.4,10.2,"4,034.70","1,04,43,936.00"
Denmark,2009,-4.9,8.1,100,86.7,0.5,0.7,96.9,13.8,19.3,"3,329.20","55,23,095.00"
Djibouti,2009,..,0.6,56,76.9,1.4,1.5,125,0.2,33.3,..,"8,27,823.00"
Dominica,2009,-1.2,2.3,92.7,67.8,0,0.5,95.8,63.8,8.2,..,"70,851.00"
Dominican Republic,2009,0.9,2.1,97.9,72.5,1.2,3,101.7,42.7,17.6,748.2,"95,76,737.00"
Ecuador,2009,0.6,2.4,96.5,62.5,1.6,1.9,100.2,52.7,13.3,788.1,"1,47,74,424.00"
"Egypt, Arab Rep.",2009,4.7,2.5,98.7,43,1.9,1.8,93.7,0.1,5.8,911.5,"8,11,34,798.00"
El Salvador,2009,-2.1,1,91.1,64.6,0.4,1.8,98.1,30.6,29.3,684.1,"61,57,686.00"
Equatorial Guinea,2009,1.3,7.5,..,64.4,4.6,7.2,103.5,90.6,6.1,..,"9,01,599.00"
Eritrea,2009,3.9,0.2,38.7,34.6,1.8,3.6,96.2,10.8,81.8,231.4,"31,19,920.00"
Estonia,2009,-14.4,10.7,100,68.2,-0.2,-0.4,91.1,54.9,24.1,"3,649.00","13,34,515.00"
Eswatini,2009,1.6,1,38.6,22.3,0.7,1.7,97,28.2,64.7,..,"10,57,467.00"
Ethiopia,2009,8.8,0.1,32.3,16.9,2.8,5.2,88.7,15.8,94.6,486.7,"8,52,33,913.00"
Faroe Islands,2009,..,12,100,40.7,0,0.5,93.7,0.1,5.1,..,"47,808.00"
Fiji,2009,-1.4,0.9,87,51.7,1,2,87.1,58.4,35,..,"8,53,637.00"
Finland,2009,-8.1,10,100,83.4,0.5,0.6,96.6,73.3,32.6,"6,268.30","53,38,871.00"
France,2009,-2.9,5.4,100,78.1,0.5,0.8,97.8,29.8,11.2,"3,913.50","6,47,07,040.00"
French Polynesia,2009,..,3,100,59.7,0.5,1.4,108.3,40.8,9.4,..,"2,65,254.00"
Gabon,2009,0.1,2.7,83.6,85,3.3,4,90.3,91.8,88.1,"2,883.60","15,68,928.00"
"Gambia, The",2009,6.7,0.2,42.5,54.9,3,4.3,95.1,30.2,53.4,..,"17,40,279.00"
Georgia,2009,-3.7,1.6,99.2,55.2,-0.9,-0.2,94.5,40.5,36.7,811.5,"38,14,419.00"
Germany,2009,-5.7,8.8,100,76.8,-0.3,0,94.7,32.7,9.6,"3,790.50","8,19,02,307.00"
Ghana,2009,4.8,0.3,62.5,50,2.5,3.9,81.1,35.3,49.9,281,"2,41,70,940.00"
Gibraltar,2009,..,13.8,100,100,0,0,..,0,0,"5,123.50","33,565.00"
Greece,2009,-4.3,8.3,100,75.9,0.3,0.7,110.8,30,8.9,"2,649.70","1,11,07,017.00"
Greenland,2009,0.9,10.2,100,84.1,0,0.3,109.1,0,8.6,..,"56,323.00"
Grenada,2009,-6.6,2.4,89.2,35.9,0.3,0.3,105.6,52.1,10.4,..,"1,05,789.00"
Guam,2009,0.3,..,100,94,0.1,0.2,102.3,44.4,0,..,"1,59,226.00"
Guatemala,2009,0.5,0.8,82.9,48.1,1.9,2.5,71.1,35.2,58.3,668.8,"1,40,00,190.00"
Guinea,2009,-1.1,0.2,26.1,33.4,2.3,3.1,70.2,26.9,79.3,..,"99,64,469.00"
Guinea-Bissau,2009,3.4,0.2,4.7,39.7,2.5,3.5,89.4,73.7,87.9,..,"14,83,921.00"
Guyana,2009,3.6,2.1,77.6,26.9,0.1,-0.8,78.5,94.1,33.7,..,"7,47,718.00"
Haiti,2009,6.3,0.2,36.9,46.5,1.6,3.7,95.9,13.7,76.9,385.4,"97,98,046.00"
Honduras,2009,-2.4,1,78.3,51.2,2.1,3.4,91.7,58.9,52.6,546.8,"81,50,775.00"
"Hong Kong SAR, China",2009,-2.5,6,100,100,0.2,0.2,114,..,0.6,"2,107.40","69,72,800.00"
Hungary,2009,-6.7,4.8,100,68.5,-0.2,0.6,94.9,22.5,8.4,"2,478.10","1,00,22,650.00"
Iceland,2009,-6.8,6.4,100,93.5,0.3,0.5,88.7,0.4,74.1,"16,911.10","3,18,499.00"
India,2009,7.9,1.4,75,30.6,1.4,2.5,78.2,23.3,40.8,544.6,"1,21,77,26,215.00"
Indonesia,2009,4.6,1.9,93.6,49.1,1.3,3,74.3,55.1,39,846,"23,86,20,563.00"
"Iran, Islamic Rep.",2009,1,7.6,98.9,70,1.1,2,89.2,6.5,0.8,"2,800.50","7,29,24,837.00"
Iraq,2009,3.4,3.6,98,69,2,2.1,91.7,1.9,1.2,"1,137.00","2,89,73,162.00"
Ireland,2009,-5.1,8.9,100,61.3,1,1.3,84.9,10.3,5.2,"3,149.60","45,35,375.00"
Isle of Man,2009,2.1,..,100,52,1,1.1,..,6.1,4.3,..,"84,376.00"
Israel,2009,0.9,8.6,100,91.8,2.4,2.5,86.4,7.1,8.4,"2,873.90","74,85,600.00"
Italy,2009,-5.3,6.8,100,68.2,0.5,0.6,111.7,30.5,12.5,"2,869.90","5,90,95,365.00"
Jamaica,2009,-4.3,2.7,90.9,53.6,0.5,0.8,91.8,51.2,14,"1,080.20","27,95,837.00"
Japan,2009,-5.4,8.6,100,90,0,1,93.5,68.5,4,"3,678.50","12,80,47,000.00"
Jordan,2009,5,3.2,99.4,84.9,5,6.5,87,1.1,2.8,"1,081.90","68,93,260.00"
Kazakhstan,2009,1.2,13.3,100,56.8,2.6,2.1,92.1,1.1,1.3,"3,944.30","1,60,92,822.00"
Kenya,2009,3.3,0.3,23,23.2,2.8,4.4,96.9,6.4,78.1,456.9,"4,09,01,792.00"
Kiribati,2009,0.8,0.5,64.2,46.5,2.2,4,93.8,1.5,3.1,..,"1,00,930.00"
"Korea, Dem. People’s Rep.",2009,..,2.2,26,60.2,0.5,0.7,95,52,12.3,815.4,"2,44,28,341.00"
"Korea, Rep.",2009,0.8,10.3,100,81.8,0.5,0.6,86.8,65.9,1.2,"4,649.80","4,93,07,835.00"
Kosovo,2009,3.6,4.7,..,..,0.8,..,..,..,20.9,"1,382.00","17,61,474.00"
Kuwait,2009,-7.1,30.9,100,100,6,6,68.2,0.3,0,"11,134.20","28,21,045.00"
Kyrgyz Republic,2009,2.9,1.3,99.3,35.3,1.2,1.2,85.7,6.4,24.7,535.8,"53,83,300.00"
Lao PDR,2009,7.5,0.5,67.8,29.5,1.7,3.7,95.4,73.6,66.8,..,"61,48,623.00"
Latvia,2009,-14.3,3.4,100,67.8,-1.7,-1.7,89.7,54,38.4,"2,055.80","21,41,669.00"
Lebanon,2009,10.2,4.3,99.8,87.2,1,1.2,117.7,13.4,4.3,"1,381.30","48,13,026.00"
Lesotho,2009,2.2,1.1,17,24.3,0.2,2.2,91.7,1.1,54,..,"19,90,131.00"
Liberia,2009,5.3,0.1,1.9,47.4,4,4.7,82.5,82.5,91.5,..,"37,54,133.00"
Libya,2009,-0.8,9.5,83.1,77.8,1.2,1.5,114.3,0.1,1.7,"3,146.20","61,33,984.00"
Liechtenstein,2009,-1.2,1.5,100,14.5,0.7,0.3,99.7,41.9,59,..,"35,727.00"
Lithuania,2009,-14.8,4,100,66.8,-1.1,-1.1,96.4,34.4,20.1,"2,770.80","31,62,916.00"
Luxembourg,2009,-4.4,20.9,100,88.2,1.9,2.3,84.6,36.4,3.7,"7,951.70","4,97,783.00"
"Macao SAR, China",2009,1.3,3.6,100,100,2.1,2.1,99.6,..,3.2,..,"5,26,400.00"
Madagascar,2009,-4,0.1,17.4,31.3,2.8,4.9,91.2,21.7,83.2,..,"2,05,69,117.00"
Malawi,2009,8.3,0.1,8.3,15.4,2.9,3.5,48.3,28.7,83.4,..,"1,41,28,155.00"
Malaysia,2009,-1.5,7.2,99.3,70.1,1.8,3,71.9,57.9,4.2,"2,591.80","2,77,35,040.00"
Maldives,2009,-7.2,2.5,99.9,36,2.9,4,98.2,2.7,1.3,..,"3,53,398.00"
Mali,2009,4.8,0.1,24,35.2,3.3,5.6,93.1,10.9,72.7,..,"1,45,81,429.00"
Malta,2009,-1.1,6,100,94,0.8,0.8,114.6,1.1,0.3,"1,887.20","4,12,477.00"
Marshall Islands,2009,1.4,2.3,81.7,73.1,0.1,0.8,..,52.2,14,..,"56,250.00"
Mauritania,2009,0.1,0.6,30.9,45.7,2.9,4.9,85.2,0.4,33.4,..,"33,93,409.00"
Mauritius,2009,3.3,3,97.8,41.7,0.3,0,93.2,19.1,12.9,999.5,"12,47,429.00"
Mexico,2009,-5.3,4.2,98.4,77.5,1.5,1.9,90.9,34.5,9.2,"1,599.50","11,24,63,887.00"
"Micronesia, Fed. Sts.",2009,1.1,1.4,62.5,22.3,-0.6,-0.6,88.5,91.6,1.1,..,"1,02,975.00"
Moldova,2009,-6,1.6,100,42.7,-0.1,-0.2,90.4,11.3,4.9,"1,109.20","28,64,346.00"
Monaco,2009,-11.3,..,100,100,1,1,..,0,..,..,"35,226.00"
Mongolia,2009,-1.3,4.9,80.1,66.6,1.6,3.1,85.7,9.1,4.4,"1,392.50","26,73,796.00"
Montenegro,2009,-5.8,2.7,100,63.8,0.2,0.7,84.5,60,49.2,"1,646.30","6,18,294.00"
Morocco,2009,4.2,1.6,87.2,57.5,1.2,2.2,79.2,12.7,14.8,510,"3,19,29,087.00"
Mozambique,2009,6.3,0.1,15,31.3,2.7,4.3,81.9,49.8,91.7,421,"2,28,94,710.00"
Myanmar,2009,10.6,0.2,51.6,28.7,0.6,1.3,61.1,48.7,85.6,284.9,"5,02,50,367.00"
Namibia,2009,0.3,1.5,44.1,40.6,1.8,4.3,102.6,9,27.1,712,"20,81,044.00"
Nauru,2009,9.1,4.1,99.1,100,0.5,0.5,97.3,0,0.1,..,"9,939.00"
Nepal,2009,4.5,0.2,61.3,16.4,0.8,2.8,83,41.5,88.9,369,"2,68,83,535.00"
Netherlands,2009,-3.7,10.5,100,86.3,0.5,1.5,86.2,11,4.4,"4,722.10","1,65,30,388.00"
New Caledonia,2009,..,12,100,66.6,1.3,2.3,85.6,45.9,6.7,..,"2,45,950.00"
New Zealand,2009,-0.1,7.5,100,86.2,1,0.9,86.4,37.4,30.2,"4,073.20","43,02,600.00"
Nicaragua,2009,-3.3,0.8,77.9,56.7,1.4,1.7,91.7,35.8,52.8,510.2,"57,45,526.00"
Niger,2009,2,0.1,12.2,16.2,3.8,3.8,85.3,1,83.3,130.3,"1,58,43,133.00"
Nigeria,2009,8,0.5,50.3,42.6,2.7,4.8,99.6,25.7,88.8,721.8,"15,43,24,933.00"
North Macedonia,2009,-0.4,4.2,99.2,57.1,0.1,0,101.9,38.1,18.5,"1,360.70","20,69,039.00"
Northern Mariana Islands,2009,-17.5,..,100,90.9,-0.8,-0.7,..,66.3,0,..,"54,193.00"
Norway,2009,-1.7,11.5,100,78.8,1.3,1.6,97.9,33.1,56.8,"6,484.10","48,28,726.00"
Oman,2009,6.1,14.3,100,74.6,4.5,5.2,71.6,0,0,"5,499.20","28,76,186.00"
Pakistan,2009,2.8,0.9,70.4,34.8,2.2,2.8,81.4,5.4,45.8,477.5,"17,55,25,609.00"
Palau,2009,-6.6,10.8,98.4,74.1,-2.3,-1.3,..,88,0,..,"18,285.00"
Panama,2009,1.2,2.4,89.1,64.9,1.8,2.2,81,58.4,26.2,942.2,"35,79,215.00"
Papua New Guinea,2009,6.8,0.7,17.2,13,2.4,2.2,94.9,79.9,56,..,"71,44,776.00"
Paraguay,2009,-0.3,0.7,96.9,58.9,1.4,1.9,73.6,50.1,66.4,728.4,"61,63,972.00"
Peru,2009,1.1,1.8,86.4,76.2,0.8,1.1,77.8,57.9,28.1,547.4,"2,87,92,655.00"
Philippines,2009,1.4,0.8,84.1,45.4,1.6,1.5,85.7,23.1,31.2,413.2,"9,24,14,158.00"
Poland,2009,2.8,7.8,100,61,0.1,-0.1,92.2,30.4,8.8,"2,466.50","3,81,51,603.00"
Portugal,2009,-3.1,5.1,100,60,0.1,1.1,103.2,35.5,24.9,"2,304.00","1,05,68,247.00"
Puerto Rico,2009,-2,..,100,93.9,-0.5,-0.6,114.7,54.7,0.7,..,"37,40,410.00"
Qatar,2009,12,41.8,100,98.3,14.1,14.3,78.4,0,0,"14,643.20","16,54,950.00"
Romania,2009,-5.5,4,100,53.7,-0.8,-0.6,110.7,28.3,22.2,"1,712.50","2,03,67,487.00"
Russian Federation,2009,-7.8,11,100,73.6,0,0.1,87.7,49.7,3.6,"4,531.30","14,27,85,349.00"
Rwanda,2009,6.2,0.1,14.2,16.9,2.7,2.7,77.1,10.8,90.5,..,"97,82,770.00"
Samoa,2009,-4.8,1,97.9,20.3,0.7,-0.4,85.1,59,45.7,..,"1,84,556.00"
San Marino,2009,-10.3,..,100,95.5,1.2,1.5,..,16.7,..,..,"30,816.00"
Sao Tome and Principe,2009,2.4,0.5,56.9,63.8,2.7,4.5,105.2,60.5,45.4,..,"1,75,876.00"
Saudi Arabia,2009,-2.1,17.6,100,81.9,2.8,3.1,85.5,0.5,0,"6,257.60","2,66,30,303.00"
Senegal,2009,2.1,0.4,53.5,43.4,2.7,3.7,77.8,44.2,52,304.8,"1,23,35,084.00"
Serbia,2009,-2.7,6.3,100,54.8,-0.4,0,96.3,30.7,20.8,"2,070.20","73,20,807.00"
Seychelles,2009,-1.1,6,96.8,53,0.4,1.1,115.9,73.3,0.5,..,"87,298.00"
Sierra Leone,2009,3.2,0.1,14.5,38.5,2.2,3.3,79.5,38.1,85.4,..,"62,72,734.00"
Singapore,2009,0.1,11.8,100,100,3,3,71.8,25.2,0.5,"4,257.80","49,87,573.00"
Sint Maarten (Dutch part),2009,..,..,99.9,100,0.8,0.8,..,..,..,..,"34,238.00"
Slovak Republic,2009,-5.5,6.3,100,55,0.1,-0.1,130.9,39.8,10,"3,106.70","53,86,406.00"
Slovenia,2009,-7.5,7.5,100,52.4,0.9,1.3,108.3,61.8,19,"3,496.20","20,39,669.00"
Solomon Islands,2009,2.6,0.3,21.2,19.6,2.3,4.7,98.5,90.4,64,..,"5,15,181.00"
Somalia,2009,..,0.1,19.4,37.6,2.8,7.2,98.3,10.9,93.6,..,"1,17,17,692.00"
South Africa,2009,-1.5,10,82.7,61.7,1.4,2.3,80.8,14.4,15.6,"2,852.10","5,04,77,011.00"
South Sudan,2009,5,..,3,17.7,4.5,5.4,..,..,..,..,"91,42,259.00"
Spain,2009,-3.8,6.2,100,78.2,0.9,1.2,89,36.9,12.2,"2,757.70","4,63,62,946.00"
Sri Lanka,2009,3.5,0.7,83.7,18.2,0.7,0.6,69.9,33.6,63.5,449.5,"2,01,23,508.00"
St. Kitts and Nevis,2009,-4,4.6,97.4,31.5,0.9,0.4,145.1,42.3,0,..,"48,599.00"
St. Lucia,2009,-2.8,2.2,93.7,19.2,1.3,-3.4,83.9,34.1,2.3,..,"1,72,221.00"
St. Martin (French part),2009,..,..,..,..,1.3,..,..,18.4,..,..,"37,377.00"
St. Vincent and the Grenadines,2009,-2.1,2.9,91.3,48.6,-0.1,0.7,115,73.2,4.4,..,"1,08,287.00"
Sudan,2009,3.2,..,29,33,2.2,2.4,102.3,..,63.3,..,"3,37,83,788.00"
Suriname,2009,3,3.8,94.4,66.4,1.2,1.1,109.9,98.1,28.7,"1,152.50","5,23,113.00"
Sweden,2009,-4.3,4.6,100,84.9,0.9,1,99.3,68.4,47.1,"4,883.20","92,98,515.00"
Switzerland,2009,-2.2,5.4,100,73.6,1.2,1.3,98.6,31.1,20.8,"3,481.90","77,43,831.00"
Syrian Arab Republic,2009,..,2.9,90.8,55.2,2.6,3.2,117.9,2.6,0.9,"1,013.50","2,12,05,873.00"
Tajikistan,2009,3.9,0.3,99,26.5,2.1,2.1,67.5,2.9,60.6,289.5,"73,64,753.00"
Tanzania,2009,5.3,0.1,11.2,27.4,2.9,5.3,77.8,56.8,91.6,456.4,"4,30,73,834.00"
Thailand,2009,-0.7,3.7,99,42.5,0.5,3.6,82.6,39.1,22.7,"1,610.70","6,68,66,839.00"
Timor-Leste,2009,10,0.2,46.1,27.4,1.8,3,88.9,63,36.8,..,"10,74,277.00"
Togo,2009,5.5,0.4,33.5,37.1,2.7,4,86.4,22.8,63.4,498.4,"62,50,835.00"
Tonga,2009,-5.2,1.3,91.4,23.3,0.5,0.7,94.9,12.4,1.8,..,"1,03,890.00"
Trinidad and Tobago,2009,-4.4,34,99,54.2,0.5,0.1,107.1,45.4,0.4,"14,210.60","13,20,930.00"
Tunisia,2009,3,2.4,99.5,66.4,1.1,1.5,80.2,4.4,16.1,870,"1,05,25,694.00"
Turkey,2009,-4.8,3.9,..,70.2,1.3,2.1,62.9,27.3,13.3,"1,371.10","7,13,21,399.00"
Turkmenistan,2009,6.1,10.1,99.7,48.2,1.5,2.1,99.6,8.8,0.1,"3,970.30","50,07,954.00"
Turks and Caicos Islands,2009,..,5.6,100,89.8,2.3,2.8,..,11.1,0.5,..,"31,934.00"
Tuvalu,2009,-4.4,1.1,96.7,53.8,1.1,3,97.7,33.3,0,..,"10,424.00"
Uganda,2009,6.8,0.1,10,18.9,3.2,5.8,86.9,14,92.4,..,"3,14,11,096.00"
Ukraine,2009,-14.8,5.6,100,68.5,-0.4,-0.2,97.8,16.5,3,"2,487.00","4,60,53,331.00"
United Arab Emirates,2009,-5.2,21.3,100,83.7,11,11.5,69.7,4.5,0.1,"7,572.40","79,17,372.00"
United Kingdom,2009,-4.2,7.6,100,81,0.8,1.1,90.5,12.6,3.4,"3,145.60","6,22,76,270.00"
United States,2009,-2.5,17.2,100,80.6,0.9,1.1,96.2,33.7,7.4,"7,056.80","30,67,71,529.00"
Uruguay,2009,4.2,2.4,98.8,94.2,0.3,0.5,94.6,9.7,45.3,"1,233.00","33,49,676.00"
Uzbekistan,2009,8.1,3.9,99.7,50.5,1.7,2.6,66.2,7.8,2.2,"1,592.00","2,77,67,400.00"
Vanuatu,2009,3.3,0.5,33.3,24.3,2.4,3.7,88.7,36.3,38.8,..,"2,30,247.00"
"Venezuela, RB",2009,-3.2,6.5,98.8,88.1,1.4,1.4,102,54,13.6,"2,319.70","2,80,31,009.00"
Vietnam,2009,5.4,1.5,96.1,29.8,1,3.1,85.7,42.7,37.2,609.3,"8,70,92,252.00"
